uri	year	title	author	word_count	word_types	ncommon_tok	nold_tok	nnew_tok	nlapsed_tok	ncommon_typ	nold_typ	nnew_typ	nlapsed_typ
VAC5545	1837	Eveline Mandeville	Addison, Alvin.	70878	6096	98.08685346652	0.12556787719744	1.3205790231101	0.46699963317249	93.192257217848	0.082020997375328	6.003937007874	0.72178477690289
VAC6620	1845	The Orange Girl of Venice, or, The Secret Council of Ten	Hannigan, Dennis.	93505	13782	98.247152558687	0.29410191968344	1.0502112186514	0.40853430297845	92.860252503265	1.2262371208823	3.9689450007256	1.944565375127
VAC8373	1851	Edward Wilton, or, Early Days of Michigan	Woodville, Fanny.	44276	6437	98.821031710182	0.39524798988165	0.44493630860963	0.33878399132713	95.199627155507	1.3360260991145	1.8797576510797	1.5845890942986
VAC5625	1851	Lessons in Life	Arthur, T. S. (1809-1885)	48779	4507	97.867934972017	1.0619323889379	0.77697369769778	0.29315894134771	95.584646106057	0.15531395606834	3.6609718216108	0.59906811626359
VAC5627	1851	The Lights and Shadows of Real Life	Arthur, T. S. (1809-1885)	177536	8957	98.129393475126	0.67986211247296	0.85616438356164	0.33458002883922	94.931338617841	0.27911130959026	3.8740649771129	0.91548509545607
VAC5634	1851	Off-hand Sketches	Arthur, T. S. (1809-1885)	46350	4791	97.518878101402	0.84142394822006	1.1348435814455	0.50485436893204	95.512419119182	0.22959716134419	3.5065748278021	0.75140889167188
VAC5641	1851	Seed-time and Harvest, or, Whatsoever a Man Soweth, That Shall He Also Reap	Arthur, T. S. (1809-1885)	49823	4677	98.410372719427	0.50378339321197	0.88714047728961	0.19870341007165	95.509942270686	0.14966859097712	3.6989523198632	0.64143681847338
VAC5646	1851	Stories for Parents	Arthur, T. S. (1809-1885)	48866	4898	97.945401710801	0.73466213727336	0.78377604060083	0.53616011132485	96.018783176807	0.16333197223356	3.0216414863209	0.79624336463863
VAC5647	1851	Stories for Young Housekeepers	Arthur, T. S. (1809-1885)	48869	4434	97.110642738751	1.2543739384886	1.2318647813542	0.40311854140662	95.376635092467	0.20297699594046	3.6535859269283	0.76680198466396
VAC5655	1851	The Tried and the Tempted	Arthur, T. S. (1809-1885)	50013	5163	98.328434607002	0.70181752744286	0.75180453082199	0.21794333473297	95.855122990509	0.17431725740848	3.3895022273872	0.58105752469494
VAC5659	1851	The Two Wives, or, Lost and Won	Arthur, T. S. (1809-1885)	45926	4905	98.162261028611	0.5269346339764	0.94282105996603	0.36798327744633	95.127420998981	0.22426095820591	3.8532110091743	0.79510703363914
VAC5660	1851	The Way to Prosper, or, In Union There is Strength	Arthur, T. S. (1809-1885)	48923	4414	98.037732763731	0.41698178770721	1.0628947529792	0.48239069558285	95.491617580426	0.18124150430449	3.6474852741278	0.67965564114182
VAC5661	1851	The Ways of Providence, or "He Doeth All Things Well"	Arthur, T. S. (1809-1885)	48815	4907	98.5168493291	0.71699272764519	0.65553620813275	0.1106217351224	96.331770939474	0.081516201345017	3.1791318524557	0.40758100672509
VAC5667	1851	Woman's Trials, or, Tales and Sketches From the Life Around Us	Arthur, T. S. (1809-1885)	48440	4304	97.809661436829	1.0714285714286	0.75763831544178	0.36127167630058	95.910780669145	0.20910780669145	3.0436802973978	0.8364312267658
VAC5668	1851	Words for the Wise	Arthur, T. S. (1809-1885)	49119	4545	98.07610089782	0.63926382866101	0.93039353407032	0.35424173944909	95.929592959296	0.11001100110011	3.3443344334433	0.61606160616062
VAC5721	1851	The Circassian Slave, or, The Sultan's Favorite	Ballou, Maturin Murray, (1820-1895)	40385	5066	99.054104246626	0.014857001361892	0.57199455243283	0.35904419957905	96.782471377813	0.11843663639953	2.743782076589	0.35530990919858
VAC5723	1851	The Gipsey Daughter, or, The Fortunes of a Spanish Cavalier	Ballou, Maturin Murray, (1820-1895)	55857	5696	98.190020946345	0.025064002721235	1.7240453300392	0.060869720894427	96.453651685393	0.10533707865169	3.0898876404494	0.35112359550562
VAC5732	1851	The Howards	Barlow, D.H.	14607	3104	98.384336277127	0.14376668720476	1.1638255630862	0.30807147258164	95.811855670103	0.1610824742268	3.3505154639175	0.67654639175258
VAC5751	1851	Io	Barton, K.	70521	7276	99.122247273862	0.042540519845153	0.60832943378568	0.22688277250748	96.564046179219	0.15118196811435	2.8587135788895	0.4260582737768
VAC5796	1851	The League of the Miami	Bennett, Emerson, (1822-1905)	64477	5959	98.391674550615	0.1085658451851	0.99105107247546	0.50870853172449	95.754321194831	0.18459473065951	3.2891424735694	0.77194160093976
VAC5800	1851	The Pioneer's Daughter	Bennett, Emerson, (1822-1905)	43996	5209	98.79079916356	0.12046549686335	0.76825165924175	0.32048368033458	95.89172585909	0.28796314071799	2.8604338644653	0.95987713572663
VAC5802	1851	The Unknown Countess	Bennett, Emerson, (1822-1905)	54688	6391	99.197264482153	0.10239906377999	0.55770918665886	0.14262726740784	96.260366139884	0.17211703958692	2.9416366765764	0.62588014395243
VAC5809	1851	Poems and Tales	Bennett, Mary E.	35237	4903	99.125918778557	0.11635496778954	0.55623350455487	0.20149274909896	96.410361003467	0.32633081786661	2.6310422190496	0.63226595961656
VAC5841	1851	Die Geheimnisse von St. Louis	Brnstein, Heinrich, (1805-1892)	169478	57075	88.153034612162	2.632200049564	2.8198350228348	6.3949303154392	89.85720543145	1.8694699956198	4.029785370127	4.2435392028033
VAC5875	1851	The Old Distiller	Bradbury, Osgood.	35465	3989	97.998026223037	0.093049485408149	0.98406880022557	0.92485549132948	95.913762847832	0.15041363750313	3.0584106292304	0.87741288543495
VAC5934	1851	Harry Burnham, the Young Continental...	Buckingham, Henry A.	261762	12843	98.17314965503	0.16732757237491	0.96767292425944	0.69184984833551	93.841002880947	0.42046250875964	4.5472241688079	1.1913104414856
VAC5952	1851	Polly Peablossom's Wedding	Burke, T. A. (Thomas A.), (1828-1880)	52351	7258	95.82051918779	0.37630608775382	2.769765620523	1.0334091039331	91.829705152935	0.34444750620006	6.213833011849	1.6120143290163
VAC5960	1851	The Sea-king	Burts, Robert, (d. 1839)	84314	8834	99.045235666675	0.27397585217164	0.58709111179638	0.093697369357402	96.637989585692	0.21507810731266	2.7620556939099	0.3848766130858
VAC5965	1851	Life in Varied Phases	Laing, Caroline H. Butler (1804-1892)	77276	8448	98.298307365806	0.66514829960143	0.86055178839484	0.17599254619804	96.212121212121	0.21306818181818	2.9947916666667	0.58001893939394
VAC5967	1851	The Life and Adventures of an Arkansaw Doctor	Byrn, M. Lafayette (1826-1903)	47085	4779	98.394393118828	0.10406711266858	1.2785388127854	0.22300095571838	94.224733207784	0.16739903745553	4.5825486503453	1.0253191044151
VAC5990	1851	The Regicide's Daughter	Carpenter, W. H. (1813-1899)	48735	6080	99.058171745152	0.2995793577511	0.57043192777265	0.071816969323895	96.398026315789	0.19736842105263	2.9769736842105	0.42763157894737
VAC6037	1851	Dream-land by Daylight	Chesebro', Caroline, (1825-1873)	171482	10461	98.969571150325	0.13995638026149	0.68928517278781	0.20118729662588	94.904884810248	0.23898288882516	4.0149125322627	0.84121976866456
VAC6056	1851	The Trial	Clare, Marie J.	16406	3004	98.32378398147	0.55467511885895	0.88382299158844	0.23771790808241	97.769640479361	0.19973368841545	1.6311584553928	0.39946737683089
