uri	year	title	author	word_count	word_types	words_above_freq	word_types_above_freq	ncommon_tok	nold_tok	nnew_tok	nlapsed_tok	ncommon_typ	nold_typ	nnew_typ	nlapsed_typ
VAC5545	1837	Eveline Mandeville	Addison, Alvin.	70878	6096	70159	5773	98.543308770079	0.12115338017931	1.0276657306974	0.30787211904389	94.266412610428	0.034644032565391	5.3871470639182	0.31179629308852
VAC6620	1845	The Orange Girl of Venice, or, The Secret Council of Ten	Hannigan, Dennis.	93505	13782	87181	8684	98.75775685069	0.13649763136463	0.9096018627912	0.19614365515422	94.207738369415	0.25333947489636	4.5370796867803	1.0018424689083
VAC8373	1851	Edward Wilton, or, Early Days of Michigan	Woodville, Fanny.	44276	6437	42186	4742	99.298345422652	0.24889773858626	0.37216138055279	0.080595458208884	97.300716997048	0.37958667229017	1.7292281737663	0.59046815689582
VAC5625	1851	Lessons in Life	Arthur, T. S. (1809-1885)	48779	4507	48128	4311	98.348154920213	1.0659075797872	0.55684840425532	0.029089095744681	96.52052887961	0.069589422407794	3.2938993273022	0.11598237067966
VAC5627	1851	The Lights and Shadows of Real Life	Arthur, T. S. (1809-1885)	177536	8957	175396	8319	98.699514242058	0.67048279322219	0.54334192341901	0.086661041300828	95.912970308931	0.15626878230557	3.5340786152182	0.3966822935449
VAC5634	1851	Off-hand Sketches	Arthur, T. S. (1809-1885)	46350	4791	45505	4538	98.518844083068	0.7999120975717	0.58015602681024	0.10108779255027	96.606434552666	0.088144557073601	3.0630233583076	0.2423975319524
VAC5641	1851	Seed-time and Harvest, or, Whatsoever a Man Soweth, That Shall He Also Reap	Arthur, T. S. (1809-1885)	49823	4677	49256	4462	98.773753451356	0.50146175085269	0.7126035406854	0.012181257105733	96.503809950695	0.067234424025101	3.33930972658	0.089645898700134
VAC5646	1851	Stories for Parents	Arthur, T. S. (1809-1885)	48866	4898	48178	4670	98.488936859147	0.73685084478393	0.56249740545477	0.21171489061397	97.066381156317	0.10706638115632	2.5481798715203	0.27837259100642
VAC5647	1851	Stories for Young Housekeepers	Arthur, T. S. (1809-1885)	48869	4434	48148	4182	97.960455262939	1.2523884688876	0.71238680734402	0.07476946082911	96.532759445242	0.095648015303682	3.0368244858919	0.33476805356289
VAC5655	1851	The Tried and the Tempted	Arthur, T. S. (1809-1885)	50013	5163	49422	4917	98.761685079519	0.68997612399336	0.52203472137914	0.026304075108251	96.806996135855	0.081350416920887	2.9489526133821	0.16270083384177
VAC5659	1851	The Two Wives, or, Lost and Won	Arthur, T. S. (1809-1885)	45926	4905	45293	4639	98.931402203431	0.45260857086084	0.56962444527852	0.046364780429647	96.162966156499	0.10778184953654	3.36279370554	0.36645828842423
VAC5660	1851	The Way to Prosper, or, In Union There is Strength	Arthur, T. S. (1809-1885)	48923	4414	48348	4232	98.878960867047	0.41366757673534	0.67220981219492	0.035161744022504	96.40831758034	0.094517958412098	3.3081285444234	0.1890359168242
VAC5661	1851	The Ways of Providence, or "He Doeth All Things Well"	Arthur, T. S. (1809-1885)	48815	4907	48400	4711	98.737603305785	0.71900826446281	0.53099173553719	0.012396694214876	96.858416472087	0.042453831458289	2.9929951178094	0.10613457864572
